alphaA,xA,alphaB,xB,sym_kl_rate,floorA,floorB
0.8,0.5,0.95,0.05,0.8023,1.0203,0.5663
0.8,0.5,0.95,0.1,0.6017,1.0203,0.7643
0.8,0.5,0.95,0.15,0.4493,1.0203,0.8914
0.8,0.5,0.95,0.25,0.2119,1.0203,1.0536
0.8,0.5,0.95,0.35,0.0585,1.0203,1.0968
0.8,0.5,0.95,0.5,0.0725,1.0203,0.8361
0.85,0.05,0.85,0.1,0.0189,0.7962,0.9139
0.85,0.05,0.85,0.15,0.0558,0.7962,0.9913
0.85,0.05,0.85,0.25,0.1530,0.7962,1.0766
0.85,0.05,0.85,0.35,0.2858,0.7962,1.0978
0.85,0.05,0.85,0.5,0.5609,0.7962,0.9796
0.85,0.05,0.9,0.05,0.0085,0.7962,0.6930
0.85,0.05,0.9,0.1,0.0173,0.7962,0.8479
0.85,0.05,0.9,0.15,0.0460,0.7962,0.9454
0.85,0.05,0.9,0.25,0.1380,0.7962,1.0661
0.85,0.05,0.9,0.35,0.2904,0.7962,1.0973
0.85,0.05,0.9,0.5,0.6777,0.7962,0.9182
0.85,0.05,0.95,0.05,0.0432,0.7962,0.5663
0.85,0.05,0.95,0.1,0.0328,0.7962,0.7643
0.85,0.05,0.95,0.15,0.0474,0.7962,0.8914
0.85,0.05,0.95,0.25,0.1271,0.7962,1.0536
0.85,0.05,0.95,0.35,0.2978,0.7962,1.0968
0.85,0.05,0.95,0.5,0.8607,0.7962,0.8361
0.85,0.1,0.85,0.15,0.0106,0.9139,0.9913
0.85,0.1,0.85,0.25,0.0739,0.9139,1.0766
0.85,0.1,0.85,0.35,0.1853,0.9139,1.0978
0.85,0.1,0.85,0.5,0.4505,0.9139,0.9796
0.85,0.1,0.9,0.05,0.0389,0.9139,0.6930
0.85,0.1,0.9,0.1,0.0057,0.9139,0.8479
0.85,0.1,0.9,0.15,0.0065,0.9139,0.9454
0.85,0.1,0.9,0.25,0.0619,0.9139,1.0661
0.85,0.1,0.9,0.35,0.1897,0.9139,1.0973
0.85,0.1,0.9,0.5,0.5629,0.9139,0.9182
0.85,0.1,0.95,0.05,0.0839,0.9139,0.5663
0.85,0.1,0.95,0.1,0.0278,0.9139,0.7643
0.85,0.1,0.95,0.15,0.0127,0.9139,0.8914
0.85,0.1,0.95,0.25,0.0529,0.9139,1.0536
0.85,0.1,0.95,0.35,0.1961,0.9139,1.0968
0.85,0.1,0.95,0.5,0.7383,0.9139,0.8361
0.85,0.15,0.85,0.25,0.0303,0.9913,1.0766
0.85,0.15,0.85,0.35,0.1164,0.9913,1.0978
0.85,0.15,0.85,0.5,0.3629,0.9913,0.9796
0.85,0.15,0.9,0.05,0.0902,0.9913,0.6930
0.85,0.15,0.9,0.1,0.0263,0.9913,0.8479
0.85,0.15,0.9,0.15,0.0038,0.9913,0.9454
0.85,0.15,0.9,0.25,0.0221,0.9913,1.0661
0.85,0.15,0.9,0.35,0.1202,0.9913,1.0973
0.85,0.15,0.9,0.5,0.4690,0.9913,0.9182
0.85,0.15,0.95,0.05,0.1505,0.9913,0.5663
0.85,0.15,0.95,0.1,0.0590,0.9913,0.7643
0.85,0.15,0.95,0.15,0.0174,0.9913,0.8914
0.85,0.15,0.95,0.25,0.0163,0.9913,1.0536
0.85,0.15,0.95,0.35,0.1254,0.9913,1.0968
0.85,0.15,0.95,0.5,0.6350,0.9913,0.8361
0.85,0.25,0.85,0.35,0.0306,1.0766,1.0978
0.85,0.25,0.85,0.5,0.2196,1.0766,0.9796
0.85,0.25,0.9,0.05,0.2208,1.0766,0.6930
0.85,0.25,0.9,0.1,0.1143,1.0766,0.8479
0.85,0.25,0.9,0.15,0.0538,1.0766,0.9454
0.85,0.25,0.9,0.25,0.0009,1.0766,1.0661
0.85,0.25,0.9,0.35,0.0328,1.0766,1.0973
0.85,0.25,0.9,0.5,0.3080,1.0766,0.9182
0.85,0.25,0.95,0.05,0.3207,1.0766,0.5663
0.85,0.25,0.95,0.1,0.1754,1.0766,0.7643
0.85,0.25,0.95,0.15,0.0882,1.0766,0.8914
0.85,0.25,0.95,0.25,0.0038,1.0766,1.0536
0.85,0.25,0.95,0.35,0.0354,1.0766,1.0968
0.85,0.25,0.95,0.5,0.4497,1.0766,0.8361
0.85,0.35,0.85,0.5,0.1031,1.0978,0.9796
0.85,0.35,0.9,0.05,0.3882,1.0978,0.6930
0.85,0.35,0.9,0.1,0.2535,1.0978,0.8479
0.85,0.35,0.9,0.15,0.1627,1.0978,0.9454
0.85,0.35,0.9,0.25,0.0421,1.0978,1.0661
0.85,0.35,0.9,0.35,0.0000,1.0978,1.0973
0.85,0.35,0.9,0.5,0.1670,1.0978,0.9182
0.85,0.35,0.95,0.05,0.5327,1.0978,0.5663
0.85,0.35,0.95,0.1,0.3490,1.0978,0.7643
0.85,0.35,0.95,0.15,0.2229,1.0978,0.8914
0.85,0.35,0.95,0.25,0.0562,1.0978,1.0536
0.85,0.35,0.95,0.35,0.0002,1.0978,1.0968
0.85,0.35,0.95,0.5,0.2757,1.0978,0.8361
0.85,0.5,0.9,0.05,0.7031,0.9796,0.6930
0.85,0.5,0.9,0.1,0.5544,0.9796,0.8479
0.85,0.5,0.9,0.15,0.4395,0.9796,0.9454
0.85,0.5,0.9,0.25,0.2466,0.9796,1.0661
0.85,0.5,0.9,0.35,0.0999,0.9796,1.0973
0.85,0.5,0.9,0.5,0.0075,0.9796,0.9182
0.85,0.5,0.95,0.05,0.9043,0.9796,0.5663
0.85,0.5,0.95,0.1,0.6970,0.9796,0.7643
0.85,0.5,0.95,0.15,0.5360,0.9796,0.8914
0.85,0.5,0.95,0.25,0.2776,0.9796,1.0536
0.85,0.5,0.95,0.35,0.0967,0.9796,1.0968
0.85,0.5,0.95,0.5,0.0397,0.9796,0.8361
0.9,0.05,0.9,0.1,0.0236,0.6930,0.8479
0.9,0.05,0.9,0.15,0.0691,0.6930,0.9454
0.9,0.05,0.9,0.25,0.2003,0.6930,1.0661
0.9,0.05,0.9,0.35,0.3940,0.6930,1.0973
0.9,0.05,0.9,0.5,0.8318,0.6930,0.9182
0.9,0.05,0.95,0.05,0.0135,0.6930,0.5663
0.9,0.05,0.95,0.1,0.0226,0.6930,0.7643
0.9,0.05,0.95,0.15,0.0583,0.6930,0.8914
0.9,0.05,0.95,0.25,0.1837,0.6930,1.0536
0.9,0.05,0.95,0.35,0.4029,0.6930,1.0968
0.9,0.05,0.95,0.5,1.0306,0.6930,0.8361
0.9,0.1,0.9,0.15,0.0129,0.8479,0.9454
0.9,0.1,0.9,0.25,0.0977,0.8479,1.0661
0.9,0.1,0.9,0.35,0.2589,0.8479,1.0973
0.9,0.1,0.9,0.5,0.6772,0.8479,0.9182
0.9,0.1,0.95,0.05,0.0509,0.8479,0.5663
0.9,0.1,0.95,0.1,0.0084,0.8479,0.7643
0.9,0.1,0.95,0.15,0.0085,0.8479,0.8914
0.9,0.1,0.95,0.25,0.0840,0.8479,1.0536
0.9,0.1,0.95,0.35,0.2665,0.8479,1.0968
0.9,0.1,0.95,0.5,0.8664,0.8479,0.8361
0.9,0.15,0.9,0.25,0.0419,0.9454,1.0661
0.9,0.15,0.9,0.35,0.1673,0.9454,1.0973
0.9,0.15,0.9,0.5,0.5543,0.9454,0.9182
0.9,0.15,0.95,0.05,0.1147,0.9454,0.5663
0.9,0.15,0.95,0.1,0.0342,0.9454,0.7643
0.9,0.15,0.95,0.15,0.0050,0.9454,0.8914
0.9,0.15,0.95,0.25,0.0321,0.9454,1.0536
0.9,0.15,0.95,0.35,0.1734,0.9454,1.0968
0.9,0.15,0.95,0.5,0.7321,0.9454,0.8361
0.9,0.25,0.9,0.35,0.0447,1.0661,1.0973
0.9,0.25,0.9,0.5,0.3395,1.0661,0.9182
0.9,0.25,0.95,0.05,0.2931,1.0661,0.5663
0.9,0.25,0.95,0.1,0.1534,1.0661,0.7643
0.9,0.25,0.95,0.15,0.0721,1.0661,0.8914
0.9,0.25,0.95,0.25,0.0010,1.0661,1.0536
0.9,0.25,0.95,0.35,0.0478,1.0661,1.0968
0.9,0.25,0.95,0.5,0.4872,1.0661,0.8361
0.9,0.35,0.9,0.5,0.1628,1.0973,0.9182
0.9,0.35,0.95,0.05,0.5401,1.0973,0.5663
0.9,0.35,0.95,0.1,0.3558,1.0973,0.7643
0.9,0.35,0.95,0.15,0.2286,1.0973,0.8914
0.9,0.35,0.95,0.25,0.0591,1.0973,1.0536
0.9,0.35,0.95,0.35,0.0001,1.0973,1.0968
0.9,0.35,0.95,0.5,0.2703,1.0973,0.8361
0.9,0.5,0.95,0.05,1.0492,0.9182,0.5663
0.9,0.5,0.95,0.1,0.8330,0.9182,0.7643
0.9,0.5,0.95,0.15,0.6609,0.9182,0.8914
0.9,0.5,0.95,0.25,0.3753,0.9182,1.0536
0.9,0.5,0.95,0.35,0.1586,0.9182,1.0968
0.9,0.5,0.95,0.5,0.0123,0.9182,0.8361
0.95,0.05,0.95,0.1,0.0286,0.5663,0.7643
0.95,0.05,0.95,0.15,0.0876,0.5663,0.8914
0.95,0.05,0.95,0.25,0.2690,0.5663,1.0536
0.95,0.05,0.95,0.35,0.5510,0.5663,1.0968
0.95,0.05,0.95,0.5,1.2684,0.5663,0.8361
0.95,0.1,0.95,0.15,0.0169,0.7643,0.8914
0.95,0.1,0.95,0.25,0.1336,0.7643,1.0536
0.95,0.1,0.95,0.35,0.3647,0.7643,1.0968
0.95,0.1,0.95,0.5,1.0387,0.7643,0.8361
0.95,0.15,0.95,0.25,0.0577,0.8914,1.0536
0.95,0.15,0.95,0.35,0.2356,0.8914,1.0968
0.95,0.15,0.95,0.5,0.8513,0.8914,0.8361
0.95,0.25,0.95,0.35,0.0627,1.0536,1.0968
0.95,0.25,0.95,0.5,0.5293,1.0536,0.8361
0.95,0.35,0.95,0.5,0.2648,1.0968,0.8361
